City,Lat,Long,Google Maps Link,Name,Category,List,Closed
Austin,30.287189899999998,-97.7031361,https://www.google.com/maps/place/Batch+Craft+Beer+%26+Kolaches/data=!4m2!3m1!1s0x8644b5e37a2a5675:0x89003868eb204c6,Batch Craft Beer & Kolaches,other,want to go,
Austin,30.2849343,-97.7139929,https://www.google.com/maps/place/Bird+Bird+Biscuit/data=!4m2!3m1!1s0x8644b5ecb72df7db:0x12e1b86d45c70413,Bird Bird Biscuit,shop,want to go,
Austin,30.276408199999995,-97.7045648,https://www.google.com/maps/place/Birdie's/data=!4m2!3m1!1s0x8644b5080783e9b7:0x3966bdc4f4a3a61a,Birdie's,restaurant,want to go,
Austin,30.287894299999998,-97.7033967,https://www.google.com/maps/place/Contigo/data=!4m2!3m1!1s0x8644b5e360b7547d:0xf4a0d23a9a83896b,Contigo,restaurant,want to go,
Austin,30.2726586,-97.72816379999999,https://www.google.com/maps/place/Cuantos+Tacos/data=!4m2!3m1!1s0x8644c9d8d4e1ce6f:0xe6d086af4ee3bb15,Cuantos Tacos,restaurant,want to go,
Austin,30.284850400000003,-97.7167556,https://www.google.com/maps/place/Dai+Due/data=!4m2!3m1!1s0x8644b5ec595c1fb3:0xd06278f47455e6a5,Dai Due,restaurant,want to go,
Austin,30.208751600000003,-97.7295484,https://www.google.com/maps/place/Distant+Relatives/data=!4m2!3m1!1s0x8644b5cfaf69a5e9:0xeaaccc9aabf7c8eb,Distant Relatives,bar,want to go,
Austin,30.2640114,-97.726993,https://www.google.com/maps/place/Easy+Tiger/data=!4m2!3m1!1s0x8644b5a5e5b74b9f:0xc0ddc5db34e224c4,Easy Tiger,bar,want to go,
Austin,30.2613287,-97.7184552,https://www.google.com/maps/place/Flyrite+Chicken+Sandwiches/data=!4m2!3m1!1s0x8644b5c994f8fde9:0xd82c1daa87983b05,Flyrite Chicken Sandwiches,restaurant,want to go,
Austin,30.3005779,-97.6852198,https://www.google.com/maps/place/Jesse's+Tacos/data=!4m2!3m1!1s0x8644b7d06c74783d:0xc5d4739d70161ddc,Jesse's Tacos,restaurant,want to go,
Austin,30.253838,-97.712949,https://www.google.com/maps/place/Kemuri+Tatsu-Ya/data=!4m2!3m1!1s0x8644b43339a8b397:0x314f4d977c6845b2,Kemuri Tatsu-Ya,restaurant,want to go,
Austin,30.285112299999998,-97.7116616,https://www.google.com/maps/place/Love+Supreme/data=!4m2!3m1!1s0x8644b5be8aa7b381:0x8dd0722980a97aa0,Love Supreme,restaurant,want to go,
Austin,30.253006,-97.7107398,https://www.google.com/maps/place/Lustre+Pearl+East/data=!4m2!3m1!1s0x8644b5a9142d2973:0x99d1b991882e8086,Lustre Pearl East,bar,want to go,
Austin,30.273202799999996,-97.6901652,https://www.google.com/maps/place/Micklethwait+Craft+Meats+BBQ+%26+Catering/data=!4m2!3m1!1s0x8644b5b97f094707:0x73413af34fe2662d,Micklethwait Craft Meats BBQ & Catering,bar,want to go,
Austin,30.283549200000003,-97.7022071,https://www.google.com/maps/place/Moontower+Cider+Company/data=!4m2!3m1!1s0x8644b57820aef3fb:0x2a103fda3678361,Moontower Cider Company,experience,want to go,
Austin,30.249021700000004,-97.74959390000001,https://www.google.com/maps/place/More+Home+Slice+Pizza/data=!4m2!3m1!1s0x8644b50f00625cd3:0x82c82ef004b3bfdf,More Home Slice Pizza,restaurant,want to go,
Austin,30.275009099999995,-97.7132754,https://www.google.com/maps/place/Nixta+Taqueria/data=!4m2!3m1!1s0x8644b5bfa9a39a85:0x89e30b3a9deaaf51,Nixta Taqueria,restaurant,want to go,
Austin,30.286889199999997,-97.705327,https://www.google.com/maps/place/Oddwood+Brewing/data=!4m2!3m1!1s0x8644b5e45f232251:0x7b9ca0d521b69e55,Oddwood Brewing,bar,want to go,
Austin,30.253927500000003,-97.7631794,https://www.google.com/maps/place/Ramen+Tatsu-Ya/data=!4m2!3m1!1s0x8644b51f87d05073:0xd1951986ccb660f4,Ramen Tatsu-Ya,restaurant,want to go,
Austin,30.255685399999997,-97.7620804,https://www.google.com/maps/place/Soto/data=!4m2!3m1!1s0x8644b51f67aab5cf:0xa954d06feb8ddd83,Soto,restaurant,want to go,
Austin,30.279880600000002,-97.7215815,https://www.google.com/maps/place/Sour+Duck+Market/data=!4m2!3m1!1s0x8644b594e1e61e01:0x70d7243021911e1c,Sour Duck Market,restaurant,want to go,
Austin,30.2622778,-97.7232758,https://www.google.com/maps/place/Suerte/data=!4m2!3m1!1s0x8644b5b6fb440001:0x48219815b3589371,Suerte,restaurant,want to go,
Austin,30.2700601,-97.75109929999999,https://www.google.com/maps/place/Taquero+Mucho/data=!4m2!3m1!1s0x8644b53ccbc66de3:0xc0ec242715714889,Taquero Mucho,restaurant,want to go,
Austin,30.244198399999995,-97.7521532,https://www.google.com/maps/place/The+Salty+Donut/data=!4m2!3m1!1s0x8644b54b49a28149:0x3ebf14a627cfb9a0,The Salty Donut,shop,want to go,
Austin,30.257539199999993,-97.7597958,https://www.google.com/maps/place/Uchi/data=!4m2!3m1!1s0x8644b51ecba165cf:0x6c41be37669e60ee,Uchi,restaurant,want to go,
Austin,30.267783599999998,-97.7408519,https://www.google.com/maps/place/Voodoo+Doughnut+-+6th+Street/data=!4m2!3m1!1s0x8644b5a771205af3:0x86f416ea2f93d43c,Voodoo Doughnut - 6th Street,shop,want to go,
Austin,30.26441110000001,-97.7330917,https://www.google.com/maps/place/Wright+Bros.+Brew+and+Brew/data=!4m2!3m1!1s0x8644b5af858cb3fd:0x1aca02d5fc79c6c9,Wright Bros. Brew and Brew,cafe,want to go,
Austin,30.229640299999996,-97.7300021,https://www.google.com/maps/place/888+Pan+Asian+Restaurant/data=!4m2!3m1!1s0x8644b46814d7eb47:0x79397bd1e893317,888 Pan Asian Restaurant,restaurant,want to go,
AV Utrecht,52.1031895,5.0827019999999985,https://www.google.com/maps/place/KABUL+%C3%A0+GoGo/data=!4m2!3m1!1s0x47c66f2cffbb5bdb:0x1690f688cdbd7e2d,KABUL à GoGo,club,want to go,
